<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20121113,000000,106.0153100,107.2040800,105.4234700,105.4387800,0
20121114,000000,106.1326500,106.1326500,102.7806100,103.1479600,0
20121115,000000,104.0051000,104.5357100,103.1836700,103.6428600,0
20121116,000000,103.5459200,104.2704100,102.3520400,104.1836700,0
20121119,000000,106.4132700,106.8061200,106.0663300,106.6224500,0
20121120,000000,106.0510200,108.1581600,106.0153100,107.4336700,0
20121121,000000,107.4183700,107.5663300,106.4642900,107.1887800,0
20121123,000000,107.6938800,108.7806100,107.6938800,108.7806100,0
20121126,000000,107.2142900,108.0765300,107.2091800,108.0765300,0
20121127,000000,107.8775500,108.4591800,106.8469400,106.9642900,0
20121128,000000,106.1836700,107.4081600,104.9438800,107.3775500,0
20121129,000000,108.2193900,108.5510200,107.6887800,108.0306100,0
20121130,000000,107.9030600,108.2040800,107.0510200,107.6785700,0
20121203,000000,108.3010200,108.3010200,106.7857100,106.8877600,0
20121204,000000,106.6938800,107.0918400,105.6887800,106.5459200,0
20121205,000000,107.9234700,109.6428600,107.4285700,108.9591800,0
20121206,000000,109.3775500,109.4438800,108.6683700,109.4183700,0
20121207,000000,110.3316300,110.7449000,109.4489800,110.7449000,0
20121210,000000,110.2295900,110.8418400,109.9336700,110.2653100,0
20121211,000000,110.8010200,111.5306100,110.3112200,110.6173500,0
20121212,000000,111.1632700,112.3112200,111.0000000,111.2091800,0
20121213,000000,110.9898000,111.2704100,110.4030600,110.5867400,0
20121214,000000,110.6887800,110.8316300,110.2295900,110.4795900,0
20121217,000000,111.3469400,113.7959200,111.2091800,113.7346900,0
20121218,000000,114.1785700,115.7142900,113.7857100,115.6377500,0
20121219,000000,116.0357100,116.3826500,114.7551000,114.7959200,0
20121220,000000,115.3214300,116.6683700,115.0612200,116.6683700,0
20121221,000000,114.9387800,115.3673500,114.2449000,115.1020400,0
20121224,000000,114.9183700,115.1020400,114.4693900,114.7500000,0
20121226,000000,115.2857100,115.5918400,114.4183700,115.1020400,0
20121227,000000,115.0510200,115.4795900,112.6734700,114.4540800,0
20121228,000000,113.8826500,114.4795900,113.2398000,113.5561200,0
20121231,000000,113.6530600,115.1581600,113.4132600,115.0816300,0
20130102,000000,118.3418400,118.5000000,117.4591800,118.5000000,0
20130103,000000,117.6989800,118.3520400,117.5510200,118.2040800,0
20130104,000000,118.0714300,120.0204100,118.0714300,119.9132600,0
20130107,000000,119.6377500,119.6734700,118.7704100,119.5918400,0
20130108,000000,119.1479600,119.5714300,118.4234700,119.2500000,0
20130109,000000,119.7500000,120.3571400,117.8673500,118.2704100,0
20130110,000000,119.0255100,120.3469400,118.8571400,120.2500000,0
20130111,000000,118.9898000,119.2959200,118.2346900,119.2959200,0
20130114,000000,119.2806100,119.3163300,117.8061200,118.6224500,0
20130115,000000,118.1785700,119.6938800,117.7398000,119.5051000,0
20130116,000000,119.1683700,120.2908200,118.8010200,120.1479600,0
20130117,000000,119.8469400,119.8469400,118.7142900,119.1530600,0
20130118,000000,119.1683700,119.4489800,118.0102000,119.0102000,0
20130122,000000,118.8724500,119.7500000,118.4693900,119.7500000,0
20130123,000000,119.5918400,119.7500000,118.8673500,119.5408200,0
20130124,000000,119.5561200,121.1224500,119.5561200,120.2398000,0
